"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"371",14,"Las Vegas Raiders",LV,"DST19","-","230","337","287.8","36.4","-"
"372",14,"Chicago Bears",CHI,"DST20","-","250","389","306.3","42.4","-"
"373",14,"Jordan Watkins",SF,"WR134","23","262","401","329.5","53.7","-83"
"374",14,"Mitchell Evans",CAR,"TE53","22","254","378","319.6","44.4","-"
"375",14,"Kalel Mullings",TEN,"RB99","22","238","298","263.8","21.7","-54"
"376",14,"Aidan O'Connell",LV,"QB47","26","262","332","291.0","30.4","-"
"377",14,"Jason Myers",SEA,"K24","34","222","325","292.0","37.9","-"
"378",14,"Malik Willis",GB,"QB48","26","267","341","311.7","26.5","-"
"379",14,"Dustin Hopkins",CLE,"K25","34","259","325","296.0","21.8","-"
"380",14,"San Francisco 49ers",SF,"DST21","-","155","296","229.7","57.9","-127"
"381",14,"Detroit Lions",DET,"DST22","-","258","355","297.2","34.4","-122"
"382",14,"Tim Patrick",DET,"WR135","31","152","410","299.8","88.6","-"
"383",14,"Greg Dortch",ARI,"WR136","27","278","407","336.3","45.3","-"
"384",14,"Darren Waller",MIA,"TE54","32","217","386","298.2","56.3","-120"
"385",14,"Josh Reynolds",NYJ,"WR137","30","175","380","277.8","75.5","-"
"386",14,"KaVontae Turpin",DAL,"WR138","29","279","396","330.4","43.3","-"
"387",14,"Justin Tucker",FA,"K26","35","250","352","304.2","38.4","-"
"388",14,"Kansas City Chiefs",KC,"DST23","-","283","387","320.2","36.9","-91"
"389",14,"Cleveland Browns",CLE,"DST24","-","160","302","245.7","61.6","-"
"390",15,"Sam Howell",MIN,"QB49","24","273","334","308.2","23.0","-"
"391",15,"New York Jets",NYJ,"DST25","-","249","363","308.8","41.8","-80"
"392",15,"Gardner Minshew II",KC,"QB50","29","276","341","310.4","24.8","-"
"393",15,"Gavin Bartholomew",MIN,"TE55","22","277","365","311.2","30.1","-"
"394",15,"Zach Wilson",MIA,"QB51","26","282","344","312.2","24.2","-"
"395",15,"Austin Hooper",NE,"TE56","30","298","346","326.7","16.8","-"
"396",15,"Marquez Valdes-Scantling",SEA,"WR139","30","293","391","344.3","35.6","-"
"397",15,"Mack Hollins",NE,"WR140","31","284","358","313.0","28.8","-"
"398",15,"Marcus Mariota",WAS,"QB52","31","253","342","292.5","32.0","-"
"399",15,"Kendrick Bourne",NE,"WR141","30","262","405","338.4","50.6","-"
"400",15,"Jelani Woods",IND,"TE57","26","280","386","315.0","39.6","-"
"401",15,"Cincinnati Bengals",CIN,"DST26","-","227","396","315.8","55.2","-"
"402",15,"Jeremy Ruckert",NYJ,"TE58","25","254","372","316.8","47.2","-"
"403",15,"Allen Lazard",NYJ,"WR142","29","208","413","321.2","90.8","-"
"404",15,"Luke Lachey",HOU,"TE59","24","268","381","318.2","47.8","-"
"405",15,"Zamir White",LV,"RB100","25","270","400","332.0","40.0","-127"
"406",15,"Deshaun Watson",CLE,"QB53","29","289","340","320.0","19.8","-"
"407",15,"Riley Leonard",IND,"QB54","22","233","330","301.0","39.8","-"
"408",15,"Samaje Perine",CIN,"RB101","29","281","381","321.0","36.4","-"
"409",15,"Treylon Burks",TEN,"WR143","25","290","412","345.3","38.9","-"
"410",15,"Ty Chandler",MIN,"RB102","27","307","343","322.6","14.7","-"
"411",15,"Nick Nash",ATL,"WR144","25","257","307","275.3","22.5","-"
