JP BREAKS,,,,,Savage Speeders,,,,,The Firefly Funhouse,,,,,,
Joe Pappas,,,,,Jay Stephens,,,,,Mark Sandora,,,,,,
JPBreaks 2025 3 YR Contract (2),,,,,Stephens 2025 3 YR Contract (2),,,,,Mark S 2025 3 YR Contract (2),,,,,,
JPBreaks 2025 2 YR Contract (1),,,,,Stephens 2025 2 YR Contract (1),,,,,Mark S 2025 2 YR Contract (1),,,,,,
JPBreaks 2025 2 YR Contract (2),,,,,Stephens 2025 2 YR Contract (2),,,,,Mark S 2025 2 YR Contract (2),,,,,,
,,,,,DiLuzio 2025 2 YR Contract (2),,,,,,,,,,,
,,,,,,,,,,,,,,,,
Contract Extentions,,,,,Contract Extentions,,,,,Contract Extentions,,,,,,
JPBreaks Extension 2025 (1),,,,,Stephens Extension 2025 (1),,,,,Mark S Extension 2025 (1),,,,,,
JPBreaks Extension 2025 (2),,,,,,,,,,Mark S Extension 2025 (2),,,,,,
,,,,,,,,,,Stephens Extension 2025 (2),,,,,,
Rookie Draft Picks,,,,,Rookie Draft Picks,,,,,Rookie Draft Picks,,,,,,
JPBreaks 2026 1st Round Pick,,,,,DiLuzio 2026 2nd Round Pick,,,,,Mark S 2027 1st Round Pick,,,,,,
Pappas 2027 1st Round Pick,,,,,JPBreaks 2026 2nd Round Pick,,,,,Mark S 2027 2nd Round Pick,,,,,,
Pappas 2027 2nd Round Pick,,,,,Stephens 2027 1st Round Pick,,,,,,,,,,,
,,,,,Stephens 2027 2nd Round Pick,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Offseason Free Agent Auction Cash,,,,,Offseason Free Agent Auction Cash,,,,,Offseason Free Agent Auction Cash,,,,,,
$55 ($5 currently tradeable),,,,,$143 ($93 currently tradeable),,,,,$50 ($0 currently tradeable),,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Slave Baker,,,,,SCLSU Mud Dogs,,,,,West Coast Customs,,,,,,
Vince Nistico,,,,,Joe Hardy,,,,,Mike Bradley 🏆,,,,,,
Number,Position,Player,Contract,,Number,Position,Player,Contract,,Number,Position,Player,Contract,,,
1,QB,Jalen Hurts,3,,1,QB,Josh Allen,4,,1,WR,Justin Jefferson,3,,,
2,WR,Amon-Ra St. Brown,2,,2,TE,Colston Loveland,3,,2,QB,Kyler Murray,3,,,
3,WR,Zay Flowers,2,,3,WR,Jayden Reed,3,,3,RB,James Conner,2,,,
4,WR,Jameson Williams,1,,4,WR,Jerry Jeudy,2,,4,WR,Brian Thomas Jr,2,,,
5,WR,Drake London,1,,5,RB,Alvin Kamara,2,,5,QB,Anthony Richardson,1,,,
6,WR,DJ Moore,1,,6,WR,Josh Downs,2,,6,WR,Calvin Ridley,1,,,
7,TE,Dallas Goedert,1,,7,RB,Kenneth Walker,1,,7,RB,Breece Hall,1,,,
8,RB,Saquon Barkley,2,,8,WR,Marvin Mims,1,,8,WR,Tee Higgins,1,,,
9,RB,Devon Achane,3,,9,WR,Khalil Shakir,1,,9,WR,Chris Olave,1,,,
10,,,,,10,RB,Ray Davis,1,,10,,,,,,
11,,, ,,11,,,,,11,,,,,,
12,,,,,12,,,,,12,,,,,,
13,,,,,13,,,,,13,,,,,,
